City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,ribeira brava,32.65,-17.0667,21.35,85,14,2.06,PT,2023-06-22
79,port mathurin,-19.6833,63.4167,23.26,63,100,6.81,MU,2023-06-22
80,usinsk,65.9939,57.5281,7.02,77,100,4.27,RU,2023-06-22
81,huarmey,-10.0681,-78.1522,20.06,83,1,3.92,PE,2023-06-22
82,fale old settlement,-9.3852,-171.2468,28.13,73,49,3.75,TK,2023-06-22
83,lebu,-37.6167,-73.65,12.76,92,100,4.51,CL,2023-06-22
84,longyearbyen,78.2186,15.6401,7.91,81,75,0.51,SJ,2023-06-22
85,pacific grove,36.6177,-121.9166,15.21,83,75,5.14,US,2023-06-22
86,college,64.8569,-147.8028,23.99,61,75,3.6,US,2023-06-22
87,gwoza,11.1036,13.713,26.08,68,99,1.53,NG,2023-06-22
88,boa vista,2.8197,-60.6733,25.99,89,40,1.03,BR,2023-06-22
89,uchiza,-8.4592,-76.4633,23.83,65,97,1.24,PE,2023-06-22
90,tual,-5.6667,132.75,26.64,79,99,5.37,ID,2023-06-22
91,schoppenstedt,52.1431,10.7745,19.94,89,100,0.89,DE,2023-06-22
92,inhambane,-23.865,35.3833,20.54,64,96,5.09,MZ,2023-06-22
93,oodweyne,9.4092,45.064,21.17,69,13,8.26,SO,2023-06-22
94,el granada,37.5027,-122.4694,18.58,84,100,6.17,US,2023-06-22
95,paracuru,-3.41,-39.0306,26.17,84,2,5.69,BR,2023-06-22
96,kwang binh,17.4833,106.6,34.84,48,100,5.15,VN,2023-06-22
97,ketchikan,55.3422,-131.6461,16.26,72,100,2.06,US,2023-06-22
98,flin flon,54.7682,-101.865,15.11,58,62,2.42,CA,2023-06-22
99,cooma,-36.2333,149.1333,7.86,59,78,6.52,AU,2023-06-22
100,izmail,45.3493,28.8408,18.91,68,0,0.87,UA,2023-06-22
101,kikwit,-5.041,18.8162,21.8,61,57,0.63,CD,2023-06-22
102,bamnet narong,15.4992,101.6897,32.19,53,42,5.44,TH,2023-06-22
103,yigo village,13.5361,144.8886,31.62,71,75,9.77,GU,2023-06-22
104,kirensk,57.7853,108.1119,17.11,92,100,2.08,RU,2023-06-22
105,puerto armuelles,8.2833,-82.8667,23.99,90,100,0.45,PA,2023-06-22
106,selfoss,63.9331,-20.9971,12.8,98,100,7.12,IS,2023-06-22
107,sandnessjoen,66.0217,12.6316,12.29,84,100,6.36,NO,2023-06-22
108,shenjiamen,29.9576,122.298,20.33,87,100,9.05,CN,2023-06-22
109,chalonnes-sur-loire,47.3516,-0.7631,17.23,82,37,1.42,FR,2023-06-22
110,kruisfontein,-34.0033,24.7314,8.27,79,0,3.1,ZA,2023-06-22
111,hazard,37.2495,-83.1932,19.83,99,100,0.57,US,2023-06-22
112,atencingo,18.5167,-98.6,27.93,31,25,3.74,MX,2023-06-22
113,palembang,-2.9167,104.7458,30.05,70,40,4.12,ID,2023-06-22
114,papatowai,-46.5619,169.4708,10.82,87,100,1.97,NZ,2023-06-22
115,bredasdorp,-34.5322,20.0403,9.92,81,0,2.6,ZA,2023-06-22
116,verkhnevilyuysk,63.4453,120.3167,24.45,31,66,4.79,RU,2023-06-22
117,suva,-18.1416,178.4415,25.71,65,20,3.09,FJ,2023-06-22
118,jamestown,42.097,-79.2353,20.77,83,100,2.68,US,2023-06-22
119,avarua,-21.2078,-159.775,26.03,94,75,5.66,CK,2023-06-22
120,stanley,54.868,-1.6985,12.65,90,40,0.0,GB,2023-06-22
121,flying fish cove,-10.4217,105.6791,26.82,73,75,5.66,CX,2023-06-22
122,sitangkai,4.6628,119.3928,27.78,75,29,1.88,PH,2023-06-22
123,aasiaat,68.7098,-52.8699,1.01,87,100,2.05,GL,2023-06-22
124,harper,4.375,-7.7169,25.05,79,64,4.14,LR,2023-06-22
125,revda,56.801,59.9303,9.7,83,100,2.69,RU,2023-06-22
126,weno,7.4515,151.8468,27.97,83,100,2.06,FM,2023-06-22
127,acarau,-2.8856,-40.12,25.24,84,3,5.95,BR,2023-06-22
128,buzuluk,52.7807,52.2635,12.16,64,82,1.75,RU,2023-06-22
129,coahuayana de hidalgo,18.7,-103.6583,26.39,76,18,1.38,MX,2023-06-22
130,binzhou,37.3667,118.0167,38.95,17,0,3.36,CN,2023-06-22
131,pisco,-13.7,-76.2167,19.03,82,0,5.66,PE,2023-06-22
132,miastko,54.0028,16.9826,15.74,68,100,2.1,PL,2023-06-22
133,bethel,41.3712,-73.414,19.64,80,100,1.54,US,2023-06-22
134,mahdia,35.5047,11.0622,24.97,43,0,2.01,TN,2023-06-22
135,luderitz,-26.6481,15.1594,14.94,54,0,1.45,NA,2023-06-22
136,whitehorse,60.7161,-135.0538,25.43,31,75,1.54,CA,2023-06-22
137,mount isa,-20.7333,139.5,24.87,25,99,3.6,AU,2023-06-22
138,nawa,27.0167,75.0,30.43,59,99,7.27,IN,2023-06-22
139,lihue,21.9789,-159.3672,29.77,68,75,7.72,US,2023-06-22
